,airline_sentiment,text
2103,positive,@SouthwestAir great example of customer service this morning at MSY headed to ATL. Alison and Bobbi were fantastic! Gate B8. Thank you.
4160,negative,@USAirways now on hold with customer care.  Wonder if someone will pick up the phone before 5pm.
692,positive,@united wow you even answered back!  Awesome! @AmericanAir @USAirways That's customer service!!! #usairwaysfail
3750,negative,@united But I got a bad exchange rate so want my money back. Please can you refund without penalty.
1797,positive,@JetBlue you can't beat jetblue in space's matter http://t.co/NRpWmGyv3e
3043,negative,@united that's cool - now what?
2229,positive,"@JetBlue For the record, that was less than a 10-minute turnaround time for the answer from the question.  JetBlue rocks!"
5376,neutral,"@USAirways  I just reserved a flight with my companion certificate, where do I mail the certificate for verification???? THX!!!"
1384,positive,@JetBlue @Airbus Wow what an amazing video https://t.co/dbcvEPn5QC Great world Guys #Bluemanity #CoreValues #Passion #AeroJobMarket
6653,neutral,@JetBlue You guys need pillows on these rockers to really knock it out of the park ... just sayin ...
3539,negative,"@SouthwestAir sucks. Passengers leaving the plane to make room luggage, checking luggage and getting back on. Delayed flights to same city."
3207,negative,@USAirways duh on baggage claim 2 more hours and counting .. Flights 622 &amp; 1898 http://t.co/DkZl57uPQI
2756,negative,@AmericanAir It's sad how I can't afford any long distance trips though. :/
6836,neutral,"@VirginAmerica Dear Virgin customer, while you're stranded in SF for 3 days &amp; $1000cost- we'll do the very least we can to accommodate you!"
24,positive,"@JetBlue @JayVig @roxydigital awww ^_^ R to the T, realtime appreciation from JetBlue #rockingthetweets #JVMChat"
3844,negative,@USAirways Have him call me.  I cant wait to see if anything happens.  Your service really sucks.#usairwayssucks
515,positive,@SouthwestAir Great job with the Passbook integration! It’ll really help streamline the commute to San Fran! 😊☕📲✈
2099,positive,@JetBlue this makes me happy. I hope these aren't empty promises.
4597,negative,@united Everyone around us is sitting with their friends and family members. They booked their tickets in October and December. We bought
5881,neutral,@JetBlue     Is it only $50 for my 2nd bag?  1st bag too full..
4702,negative,@SouthwestAir - i needed refund on my Cancelled Flightled flights this morning and had been on hold for more than an hour X 3. what to do?
2266,positive,@united Thank you.
4377,negative,@USAirways it's not like I'm trying to leave earlier just for fun. I don't want to get stuck in DC if we have bad weather in RDU.
2702,negative,"@AmericanAir Nah, just horrible dining options outside of club. Luckily Manuel in the Admirals can make a Bloody Mary."
1101,positive,@JetBlue yes! Announced we will take off. You're on it! Thank you!
6319,neutral,@SouthwestAir flying flight 3130 tonight at 7:20 from PBI- I have boarding position C-42. Is flight overbooked? Have funeral to attend!
5933,neutral,"@SouthwestAir #DestinationDragons @Imaginedragons Scavenger Hunt Vegas, BE READY!!! http://t.co/vHgkiTzSaw"
5147,neutral,@AmericanAir so how do we get me a person?
647,positive,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV
890,positive,@JetBlue Definitely! Lots of announcements and the app is great.
4753,neutral,@JetBlue I can't pay 30 bucks xD
5823,neutral,@USAirways so it's a $25.00 bag fee for a golf bag on a domestic flight?
796,positive,"@united ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/9v8tMUsJvU"
4378,negative,@USAirways your customer service stinks. Trying to book a flight for hours now and keep getting hung up on. #usairwayssucks
5531,neutral,@SouthwestAir When is the last chance to win #DestinationDragon ???
5138,neutral,@SouthwestAir just sent you a DM w/ additonal info
4064,negative,@AmericanAir Mold on my flight?!? US3825 #filthyplane #hopeidonotgetsick http://t.co/zIK2UoXGnW
3355,negative,@JetBlue flight from DCA to BOS has no heat #OhNo #BundleUp #Leastthebeverageswillbecold
1171,positive,@JetBlue haha thanks Jetblue👌☺️
1577,positive,@AmericanAir all good! I'm catching the 11:10p flight tonight. Thanks for the response.
134,positive,@AmericanAir Thank you.
40,positive,@USAirways Thank you so much its been a very stressful day
6201,neutral,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24
7027,neutral,@JetBlue When I checked yesterday it looked like it did. Did something change?
2920,negative,"@united how can you not know, after two hours of us sitting on the plane with no bags off loaded, the planes weight?!"
1994,positive,@USAirways a big thanks to the gate agent flt5127..keeping us informed of the delay#greatcustomerservice
6910,neutral,@JetBlue no m'good. Just get me home
3450,negative,@JetBlue #fail My wife on the phone asking to switch flight times. In mid switch gets disconnected. Now Cancelled Flightled! No new time! No call back
3275,negative,@JetBlue at what point in delays can I take a different flight to my destination?
1138,positive,"@AmericanAir mission accomplished today, Thank you!"
6935,neutral,@united need help. Never got tickets. Conf #ggqzqd
4287,negative,"@USAirways 
Not one to complain much but really 1 hour 15minutes and still nothing. Agents or Agent ⤵ http://t.co/Q5SB0DaVuy"
344,positive,@united JT thanks for your help I’ll complete the form once we are back home
2264,positive,@SouthwestAir Jason (108639) at Gate #3 in SAN made my afternoon!!! #southwestairlines #stellarservice #thanks!
1524,positive,@united this flight has been amazing. This is the best flight I have ever been on I am not kidding. Service is INCREDIBLE!
6596,neutral,@united I'll be impressed if I actually get a response! 😜
4311,negative,@SouthwestAir Had to pay a $25 fare difference on a change but can't seem to find the receipt for it. How can I get a copy for reimbursement
5233,neutral,@JetBlue flight 462 to Boston delayed due to weather in Tampa?
1881,positive,"@USAirways TYVM USAir, Happy Night@ &lt;3"
5360,neutral,@united I sent in my feedback.  Thank you.
4360,negative,@united is there a United gold number? I've been on hold 24 minutes and think I may be lost in nowhereland. Have a gold reservation. Help.
2074,positive,@united thanks for leaving our 3 year old in his own row flight 360 LAX-IAD
751,positive,@USAirways me too!
5101,neutral,@JetBlue If you have well-priced flights to #Oahu - we could be best friends. @vincenzolandino
4721,negative,@united @highbuddyyy that totally sucks my cousin worked at PHL said @united
2136,positive,"@united thanks, we did."
2,positive,@SouthwestAir I wish i would've seen this 4 hours ago!!! I WANTED TO SEE THEM TONIGHT SO BAD!!!! #CRYING
373,positive,@SouthwestAir please do. Hate having to fly a different airline. You're my fav.
870,positive,@USAirways #tbt every day.
3872,negative,@united can you get a gate for UA4727?  Turrible.
3138,negative,@USAirways worst trip ever!  Wish pilot would've let me off plane at 12pm during 1st delay.  Now 1030pm and still sitting on runway.
3293,negative,@SouthwestAir I gave you one more try. Figured you could get a 1 hr flight right. Nope. Delayed an hr. Seems to be every time.
1218,positive,@SouthwestAir thank you :-)
3373,negative,@AmericanAir United needs our ticket number since you rebooked us and you gave the incorrect ticket number now we can't check in #help
4713,negative,@southwestair on flight 3130 and I paid $8 for wifi that can't load a website functionally except for your own live streaming. Unacceptable.
3544,negative,@AmericanAir AND they Cancelled Flighted my flight and left me with no help to find a hotel to stay in. I slept in an airport for a night-_-
4408,negative,@united your website is a complete joke when using safari!
3093,negative,@united the lounge tells us they have no pillows for my grandma as one of the ladies opens the closet and I see 2 right there. #unitedlies
6230,neutral,@SouthwestAir it was 3472
5051,neutral,"@JetBlue's CEO #pilots among ardent fans, Wall Street - Poughkeepsie Journal http://t.co/zSdGzyDNDe"
5326,neutral,@AmericanAir yes and I would like a refund.
1858,positive,@SouthwestAir @love_dragonss LAUREN IM SCREAMING
228,positive,@JetBlue you're killing me now. :-) You got me! #smitten #trueblue
1418,positive,"@USAirways Got it, thanks!"
306,positive,@JetBlue thanks...
3456,negative,“@SouthwestAir: @TinaIsBack I'm so sorry for your frustration. Did you get rebooked? ^SW” I've been rebooked 4 times!! Still stuck!! #SMH
4246,negative,@AmericanAir you're not finding it bc @united  rebooked us on your airline when they realized they couldn't get us home - and we're at ORD
5075,neutral,"@united @SCVPools 
Please call me at 310-795-2210."
2921,negative,@united Suck
6912,neutral,@united on the plane. I was thoughtful enough to ask for it and got it; there are prob others that also deserved it
939,positive,@united sent a DM just now. Thanks I am incredibly happy the fast response I got via Twitter than via customer care. Thank you
3278,negative,@USAirways over 4 weeks since you took our money and left us stranded 9 hours from home. Had to rent a car and you still have not helped us
6766,neutral,@JetBlue Celebrates 15-Year Anniversary With New Livery - Digital Journal http://t.co/U5HXri6Crx
6668,neutral,@USAirways The help/complaint forms on the website can be used only if the matter applies to an actual ticketed flight
6989,neutral,@AmericanAir do you guys have another flight for today that you can book me on from laguardia to louisville ky?
2592,negative,@JetBlue I'm curious to know how do you compensate for passengers missing engagements due to a two hour wait on the tar-mat to get to a gate
5178,neutral,@JetBlue are you my friend?!
6939,neutral,@VirginAmerica to jump into the #Dallas #Austin market http://t.co/SzR0pioA21
5069,neutral,"@united rebooting Chicago dispatch system, need @pivotalcf as I'm tired of sitting on planes"
3842,negative,@united there's no reason it should take 7-10 days to respond.
6317,neutral,"@united Hi, booked a flight yesterday and received an email w/ confirmation number but today I got this error ""no active flight segments"""
5858,neutral,"@AmericanAir already did- reply was ""sorry. we believe this to be fair."" as a journalist writing an article on my trip i will include this"
6554,neutral,"@JetBlue So anything found while cleaning the plane in DC would be at the baggage office, even something small?"
4191,negative,@united pushing five hours and my time is worth nothing to you. reFlight Booking Problems not an option unfortunately.
2676,negative,@AmericanAir crew did the best they could but it was out of their control. You only get one chance of a honeymoon &amp; you failed miserably
2247,positive,@USAirways thank you! I tried that and they said they didn't have it. Anywhere else to try?
21,positive,@USAirways Best GAgent in a long time - Danny B. for US628 DFW-CLT. Appreciated how up to date he kept us during irrops. Super professional!
5761,neutral,“@SouthwestAir:Southwest mobile boarding passes now available in iOS Passbook! http://t.co/xmRvR4lGEg http://t.co/wJoc9f14SU”@tori_leggieri
1400,positive,I know you have a lot of baggage... But i want you to know i really enjoyed being inside you. @JetBlue #Jetbae
4930,neutral,@SouthwestAir Where should I fly by May 3rd? Plz advise.
5726,neutral,@JetBlue To DC this summer and help local youth get ready to return to school with math refresher courses. #FlyItForward
1880,positive,@united private jet would have been cool! Do does not work. I'll try again
5960,neutral,@JetBlue so I don't know confirmation number or the names of the flight attendants and supervisor
406,positive,@USAirways ok. Thank you
794,positive,@united nope all set. Thx for checking.
2317,positive,@united well it IS John Hughes' birthday. But I will stick w the plane &amp; hold off on trains &amp; automobiles. Gate workers are doing well.
942,positive,"@united This is probably the least dependable airline in the Western Hemisphere. @united does not belong in Star Alliance, but SkyTeam"
659,positive,@SouthwestAir Thank you SWA and Shannon G. @LASairport (C22) for being a miracle worker! #awesome
1641,positive,@USAirways  Lilly M in SJU check in is fabulous!
1108,positive,@SouthwestAir Thank you for your help Adam and to the awesome gate agents at B12 in LAS for getting us home!
3016,negative,@JetBlue Are there airport-wide delays at BOS or did we just get unlucky with 152?
6575,neutral,@AmericanAir Do you have any sort of live chat feature? We're in the UK right now and that call would cost us alot. :(
1120,positive,@JetBlue thanks for update http://t.co/K7uBOTMr1r
3913,negative,@AmericanAir we've been on hold for hours.
1647,positive,@SouthwestAir Thx Ops Agt Rich Westagard n Flight Att. Nancy @ DEN Airport.Held flight 1027 n even saved seat 4 Bus Select #CustomersFirst!
616,positive,"@virginamerica Well, I didn't…but NOW I DO! :-D"
6027,neutral,@JetBlue thank you! Headed from LBC to OAK !
2914,negative,"@AmericanAir I paid extra $ for my seat &amp; the monitor didn't work from on AA111. How about a refund on the seat? Conf #: MDBEEI, McMullen"
452,positive,@SouthwestAir Thanks for sending my kid to the #DestinationDragons concert Vegas @Imaginedragons So awesome! http://t.co/G9b6e0a2sZ
1480,positive,@USAirways You all work hard at making sure things flow smoothly. Keeping positive.
1968,positive,@SouthwestAir Customer Centricity is knowing people #ANAMarketers
730,positive,@JetBlue @vincenzolandino @CBarrows You take to me places @united simply can't...like non-stop to St. Lucia.
5343,neutral,@AmericanAir this receipt doesn't show the evoucher value nor does it mention having used an evoucher
1336,positive,@SouthwestAir Thank you for the tip!
6841,neutral,@JetBlue well duh. My grandfather just got hired as a TSA agent and currently at PWM!
3085,negative,"“@JetBlue: Our fleet's on fleek. http://t.co/Lv9HwQDK9A”

Can't fly you anymore, we had a good run ✌️"
5446,neutral,"@SouthwestAir schedule is open through the end of October, got Columbus day wknd in New England for ~50K points for 4! Check your calendar!"
4850,neutral,@AmericanAir I'm going to speak with customer service at the airport tomorrow morning and see what my options are. I need a flight tomorrow
4784,neutral,"@united @VUSA_Australia I'm just an Aussie cowgirl lookin' for my cowboy. Take me to Fort Worth, Estelle says I'll find him there!"
7087,neutral,@JetBlue Hello we are doing a world record attempt on the amount of ball point pens in a collection please could you help with a pen?
3206,negative,@USAirways still crickets from customer service.
3412,negative,@USAirways : i was told my ticket expired but  i never recvd any notice  before it expired .This sucks.i paid 40k miles &amp; $125 for the tckt
2375,negative,@JetBlue the free wifi makes up for the television not working... It's staticy #ithelpsabit
3076,negative,"@JetBlue I may not make my connection and need to find out my options, yet no one is here."
3283,negative,"@AmericanAir Telling frustrated customers ""we are super busy, please call back Late Flightr kthxbai"" and then hanging up is not the best practice."
4881,neutral,@JetBlue hello! my husband bought us a trip last night &amp; just noticed my last name is misspelled! What can I do? Thanks!
5324,neutral,"@JetBlue #flyingitforward Pereira, Colombia to help the kids from Cartago streets and deliver a lot of clothes that I have picked to donate."
5947,neutral,@JetBlue 266 at LGB in Sunny So Cal http://t.co/V015PK7DSi
2438,negative,@usairways I've called for 3 days and can't get thru. is there some secret method i can use that doesn't result in you hanging up on me?
6729,neutral,@JetBlue early last month via Expedia-there's an extra middle name and initial attached to my last name
5002,neutral,@AmericanAir At what e-mail adress can I send your CEO Mr. Doug Parker a letter that he hopefully reads?
4082,negative,"@AmericanAir @MallowFairy And how many times, exactly, should we call and leave our number for a call back? Because that hasn't worked."
3343,negative,"@AmericanAir second, she sat on the Tarmac for 3 hrs only to be told it would be 30 mins"
3163,negative,"@AmericanAir 45min wait to get de-iced in Tulsa.Not good service.Looks like everyone will miss connections, not due to weather. Fight is on"
3728,negative,@united Yes there were PLENTY of seats available.  So why did Vicky Thomas refuse to give one to a million mile flyer?
1439,positive,@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-)
169,positive,@southwestair cool shot of the moon and one of your fleet http://t.co/kl9BAiMES6
142,positive,"@AmericanAir Thank you for the response, we got it resolved at the counter."
814,positive,@united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated
1499,positive,@JetBlue u cool
340,positive,@united enjoyed #heathrow lounge so much i almost missed my @airnzusa flight!
710,positive,@united I will. Thanks.
1550,positive,@USAirways please give Tara G a pat on the back and praise.  She was very very helpful.  She is at PHL member lounge
4701,negative,"@USAirways I have fam thats supposed to fly 2/22 that are currently in the hosp.3 trys to speak to a human, yr phone sys cuts off. pls hlp!"
3172,negative,"@JetBlue well, now I'll make sure to never fly JetBlue"
1643,positive,@USAirways Thanks!
2937,negative,@united resolved and im sick and tired of waiting on you. I want my refund and I'd like to speak to someone about it.
20,positive,@VirginAmerica Your planes are really pretty. Just thought u should know that. :)
2277,positive,"@AmericanAir thx, just sent the DM"
6308,neutral,@united workin on it. Waiting on him to reply.
2085,positive,@united  4 reFlight Booking Problemss in last 2 days and each time united wait time was &lt;5 seconds! Kudos to you for excellent customer service!
7085,neutral,@USAirways I just checked in online for tomorrow's flight - thought I should get auto upgrade? (Already got the email saying no seats)
5634,neutral,@SouthwestAir good to know. Perhaps it was execution then.
1354,positive,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)"
6947,neutral,"@JetBlue no, I am fine to fly! Haha, they come at random, with the hemophilia, but what if i need extra assistance"
2804,negative,"@united typical caned response from UA, fix your crappy performing, last placed/ranked airline in this century!"
6328,neutral,@JetBlue I'll read this over a nice glass of wine right before I dig my heels into my next novel! Maybe travel is just what I need...
5649,neutral,@AmericanAir can I DM you info?
2069,positive,@JetBlue thanks for help. Can't wait to travel with! And get out of the snow.
5436,neutral,@AmericanAir my key point of confusion is whether I can make this change even though the initial Flight Booking Problems was on US Airways metal?
1021,positive,@JetBlue where's my selfie?
6731,neutral,@united yes please. Going to drive the 6 hours.
2249,positive,@AmericanAir thanks for following up- it finally worked!! Fingers crossed the new flight works.
3290,negative,@AmericanAir no date on when revieving our money sent a letter in post and several emails no reply?? very frustrated
5768,neutral,"@JetBlue It's for me, I spoke with a rep on the phone who suggested I ""Voice a concern"" via ""Email us"" on your site. I did a few moments ago"
5587,neutral,@SouthwestAir still there? I was posted up in Downtown waiting for y'all. On my way!
1921,positive,@SouthwestAir  Just sent DM. Thanks for your attentiveness to this matter.
5055,neutral,@JetBlue my phone number when you have any news for me is (631)891-5722
5902,neutral,@USAirways what happens to frequent flyer miles earned once merger is complete with AA?
1523,positive,"@SouthwestAir is the best airline hands down. Amazing customer service, bags free and affordable flights. #happycamper"
5470,neutral,@united San Diego to Chicago. Leaving at 6:15 am tomorrow
3527,negative,@USAirways  2 hours on hold and issue still not resolved. hope to make my flight in 12 hours. for every minute of talk = 20 minutes of hold
3404,negative,@AmericanAir @robinreda that can be a stop over before Paris. You are an embarrassment
993,positive,@USAirways - Check-in staff at PHX are awesome! Great traffic control for general boarding.
6220,neutral,@USAirways what is contact info to upgrade using advantage miles?
2569,negative,"@USAirways 24 hrs Late Flightr still not home. Hotel, rental car etc with a 5 yr old, what happened to ""customer service is our first priority"""
6387,neutral,@JetBlue @drwinston001 I think we'll need a selfie as proof...
4529,negative,@USAirways this has been the worst trip with little to no customer service
1692,positive,@united perfect! That works! Thank you!
667,positive,@JetBlue Thanks!
3065,negative,@USAirways thank you for continuing to be the worst airline out. Didn't need that extra hour of sleep after 29 hours of travel anyway
1212,positive,"@united thanks for the re-upgrade to 1st class. It may be a 45 min flight, but it is appreciated."
3709,negative,@AmericanAir served me rubber pasta covered In sauce that tastes like plastic. Do you have any food for human consumption anymore ?
2889,negative,@united KN: not allowing me to bypass the receipt # on the refund request form. Never received receipt email. charged http://t.co/Cju102xP2k
6029,neutral,"@SouthwestAir my son is flying South West from NOLA-Orlando, hope to enter for him to win this contest #DestinationDragons"
763,positive,"@SouthwestAir @intuit @jhamilton2007 4 moms, 4 careers, 1 day trip to LA. #intuitlife #leanin http://t.co/2qJbCv5jzq"" #southwestairlines"
3302,negative,"@SouthwestAir coming up on 2hrs on, still haven't spoken to a rep"
297,positive,@AmericanAir wow that's helpful.
4441,negative,@USAirways HELLO!! Is anyone behind your twitter account? #badcustomerservice
3543,negative,@united #Newarkliberty Airport need to indicate different gate#'s for terminals A&amp;C. #Flyingainteasy
2459,negative,"@USAirways your customer service in Philly is deplorable, rude &amp; unprofessional gate agents after delays &amp; Cancelled Flightations #takingthistothetop"
2068,positive,@USAirways I will. Thank you for at least tweeting me back:) better than most. 👌
6848,neutral,@JetBlue Airways Corporation Insider Trading Update - Rock Hill Daily http://t.co/vvzkSMFKVw
6430,neutral,"@SouthwestAir I think that flight was supposed to go to Houston as well, in case someone could check that?"
1625,positive,@united @jsumiyasu I am thankful to the  United ground staff who put me in the last seat on the last flight out. Home Late Flight is still home!
3273,negative,"@USAirways @AmericanAir did I mention I'm a silver preferred member and fly every week (not always with you), and not even a meal voucher?"
3871,negative,@SouthwestAir won't let me send a DM because they don't follow me.. #lovedflyingwiththem #notanymore #wrong #badpolicy
5616,neutral,@USAirways can u tell me if 5238 from clt to Jan has gotten out of the gate yet?  I will have a tight connection out of clt to mco.
2523,negative,@united 2nd flight also delayed no pilots! But they boarded is so we can just sit here! #scheduling
2577,negative,@united Flight 472 from ORD couldn't let me know about this? Found out via app minutes before landing. Awful flight. http://t.co/DQJl8vZ2h2
3242,negative,@AmericanAir tisk tisk. Rude flight attendants yet again. I can't hang my suit up because I didn't buy first class? @Delta when will I learn
745,positive,@united perfect! Thank you!
3796,negative,@JetBlue if my flight was delayed can I show up at the airport with the appropriate amount of time for the delay or do I have to go on time?
5952,neutral,@USAirways  my flight was #3729...but I left my phone on the plane or the shuttle :(
6693,neutral,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/5t4FpCGREJ
658,positive,@JetBlue shows us their sense of humor with these tongue-in-cheek flight etiquette videos: http://t.co/GGuAA1JvDF
5053,neutral,@united followed you and DM'd you
5742,neutral,@AmericanAir Is there a way I can get a record of all the flights I've taken with you?
407,positive,@SouthwestAir you guys are so amazing for sending people to meet Imagine Dragons #DestinationDragons 😋
5077,neutral,@USAirways JUST LANDED flight 545. Any chance of making flight 5530 Phoenix to AUS
6634,neutral,@AmericanAir is flight 2413 to LA delayed?
7049,neutral,@JetBlue  I see my flight from Boston to Pitts is ok from this afternoon. Did you have any delays for the morning flight?
5885,neutral,"Lol, k. “@JetBlue: Our fleet's on fleek. http://t.co/IUX94Rgc83”"
4123,negative,"@united, you just caused a riot on the airplane. Never seen anything like this"
4726,neutral,@AmericanAir what name and department does it come under? Thanks
6915,neutral,@united why are there no early morning flights from HNL to anywhere in the continental US? Example- Monday 4/20. Need flight to PHL
7047,neutral,@united @estellevw does she need to complain on Twitter for the refund or is it auto-applied?
722,positive,@USAirways see you on board tomorrow
2273,positive,@SouthwestAir TY for your consideration!
1934,positive,@USAirways - Huge props to Parizad at checkin in Sacramento for her help on Friday to get 3 of us home when other airlines were delayed
2027,positive,@JetBlue Hawaii! Get me somewhere warm &amp; I can find some good to do. #FlyItForward
1536,positive,@JetBlue @Cayman_Islands  I know that bar :)  Wish I was there now!
3849,negative,"@AmericanAir Call me Chairman, or call me Emerald. After what you did today to me, you can call me a former customer."
807,positive,@SouthwestAir Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!
1226,positive,@united Worked like a charm. Bag was waiting on the carousel when we got to baggage claim. #welldone #goodflight #friendlysky
916,positive,"@AmericanAir just curious. Thanks for the response as always, good or bad. Better than your competition."
602,positive,"@AmericanAir 

Fantastic support by the Twitter team. I appreciate it. Thanks again."
4680,negative,@JetBlue that is not what your employee at Logan told me. I finally got one to meet my daughter on her first solo flight after rude rep :(
2202,positive,@united I am impressed with your super-fast reply to @CGJase
5230,neutral,@SouthwestAir Can you link the article where it says the routes and what times the routes are likely to be? Like TUL-DAL 1:00PM - 7 None
1358,positive,"@SouthwestAir I owe you an apology. My tweet was out of frustration, not constructive criticism. I'm a SW fan &amp; LOVE your service!"
591,positive,@SouthwestAir flight from BWI to ISP ready to go! Thanks for keeping us warm! #FrigidFriday http://t.co/bfPfW6eyKU
5405,neutral,@VirginAmerica ...Please come to Minneapolis St. Paul!
6407,neutral,@SouthwestAir do you have special fares for students to visit prospective schools?  It's expensive to visit graduate programs.
2374,negative,"@united Gate agent hooked me up with alternate flights. If you have a way to PREVENT the constant issues, that would rock."
6356,neutral,@JetBlue I would like to receive offers.
5967,neutral,@USAirways never received such horrible service or treated so poorly as Richard P. today. No excuse for attitude &amp; ripping up our tickets!
7039,neutral,"@JetBlue CEO's challenge: appease passengers, Wall Street - The Columbian http://t.co/pG96ys9aSW"
178,positive,@SouthwestAir...give the crew of SWA 4007 a high five from this AV-8B guy for its nice XW landing into @bostonlogan. Nicely done!
1318,positive,@SouthwestAir Thank you for having flights going out of Nashville! You guys Rock! #DisneyPrincessHalfMarathon #girlsweekend #bffs
6865,neutral,@AmericanAir followed!  Sure hope you can help!
1592,positive,@VirginAmerica has the most INCREDIBLE customer service I've ever experienced! So refreshing!
50,positive,@united thank you!
305,positive,@AmericanAir thank you for doing the best you could to get me rebooked. Agent on phone &amp; addtl resolution on DM was very much appreciated.
4107,negative,@usairways  Thank you for allowing me to spend more money on vacation by buying things I already bought.
2098,positive,@JetBlue Flight Booking Problems flights for a DC visit for Easter weekend started difficult but ended well with you guys! Big fan here. :)
4858,neutral,"@VirginAmerica - can you tweet me the Cancelled Flight/chng fee for a flight? or can I rebook under one of your affiliates? If so, who are afiliates?"
2964,negative,"@united It isnt simple issue, generally how you set up check in/baggage policies at Logan and general unhelpfulness of employees in early AM"
5612,neutral,@united Hi. My 2/23 flight from CUN-EWR shows a departure of 2:55pm on my United app.  Can you confirm?  Doesn't look correct.  Thanks.
4363,negative,@united already Flight Booking Problems next week's trip on @AmericanAir  thanks for making the choice so easy #disunited #unfriendlyskies #servicefail
3934,negative,@JetBlue what crew? No one here is helping.
1351,positive,@JetBlue thanks. We are ticketed on stand by for flight 1970. I hope we make it out. Fingers crossed
2351,positive,@united nope. Even better there were 4 seats. And due to W&amp;B first to raise hands got to move up. I wasn't fast enough.
3636,negative,"@AmericanAir You've misunderstood. @USAirways WOULD NOT do a same day flight change for me. The gate agent said, ""NO."""
5605,neutral,@JetBlue  Alright I hope. My JetBlue app is showing a change in my seats and online shows an a320.  Don't want any surprises
3959,negative,"@AmericanAir but don't you worry... @Delta took good care of me... Your loss, their gain."
2093,positive,@SouthwestAir me &amp; @sammi_jon3s are best friends because of @Imaginedragons. Any chance we could get tickets to #DestinationDragons ?
3188,negative,"@AmericanAir it would be awfully nice if you could send an alert when my flight is Cancelled Flighted. No text, no email, no love..."
5494,neutral,@USAirways but i bougth mc caren to jfk with same agency and delta airways . Delta refund money but usairways doesnt accept to refund
332,positive,@SouthwestAir props to your LAS employees working C11 gate. Because of them I am not opposed to flying through or to LAS in the future! 👏👏👏
5408,neutral,“@JetBlue: Our fleet's on fleek. http://t.co/RkwugmanM9” lmao you know a white person said this
4909,neutral,@SouthwestAir  do you know where my plane is coming from?  I'm on SW flight 4464 from RSW to MKE
4153,negative,@USAirways 45 minutes on hold no help
704,positive,@SouthwestAir looks like Bellagio to me! Good luck people! See you at the show at Vinyl
1056,positive,"@JetBlue awesome, thanks! on hold now."
1883,positive,@SouthwestAir I will say that your customer service has consistently been the very best!!!
2843,negative,"@SouthwestAir Yes - with extra $77. I wonder what are you going yo loose, if there is room."
6917,neutral,@USAirways New marketing song? https://t.co/F2LFULCbQ7 let us know what you think? http://t.co/WbhbljJkS7
3752,negative,@united apparently sleeping in B terminal wasn't the worst situation. Someone told other UA passengers they had to sleep at baggage claim.
2668,negative,@USAirways Never mind that you could have told the gate I was on my way - you could delay 10 mins but not 15?
463,positive,@SouthwestAir no worries. We got thru eventually. I was just curious. Best of luck to you dealing with the weather!
5645,neutral,@AmericanAir Here is the photo ;) http://t.co/VMqUURZUpW
6486,neutral,@united Just got interrogated at the United Club Chicago. #UnitedAirlines #rude #PoorForm
7059,neutral,@AmericanAir Thanks for doing that but now it's telling me to go to the airport and check in with an agent-what's up? http://t.co/PfseNJk5Pw
4666,negative,@USAirways your customer service at CLT is terrible!!! My flight was delayed from JFK for 2 hours!  Get to CLT to horrid customer service!
5802,neutral,@USAirways Hi-i have a travel question. Could you please follow me so i can dm you?
4250,negative,@SouthwestAir 2 wounded vets stuck. Hv trouble with agent help. On hold and no answer on Twitter. Pls respond
2588,negative,“@AmericanAir Thanks for info on super large passengers- the extra seat Mr. Big needed was the one i was sitting in already #customerservice
3843,negative,"@united screwed up our reservation- they assigned a new # to just one of us &amp; when they changed our flight, only changed the original #."
193,positive,@JetBlue No worries. Time flew in the terminal and now we're taking off. Thanks again!
3416,negative,"@united I'd say most of the public can't extend their vacation a week, point is why advertise multiple flights you can't honor?"
222,positive,@united I was sincerely thanking the pilot of flight 4461 of braving the snow and getting me home amongst many other Cancelled Flightlations.
394,positive,@USAirways Thks US #1786 2/19 PHL to FLL. Overall 1st class has improved with more food now on PHL to FLL and most crews are super.
4809,neutral,@united follow back and I'll give you the details.
1810,positive,@JetBlue boarding the back of the airplane first. Like a boss. #sosmart #jetblue #frequentflyerappreciates #alsoyayforsnacks
3787,negative,@united wasting time at baggage claim thanks to your dfw ground crew who checked my bag in without actually checking for space #frustrated
6238,neutral,@JetBlue you just tight that you're #59 on the world's best airlines list &amp; @VirginAtlantic is ranked higher! @VirginAtlantic here I come!
5653,neutral,@AmericanAir when will you be issuing a weather advisory for RDU?? the entire state of NC has shut down from the overnight winter storm.
2957,negative,@JetBlue it's ok. Things happen. Just very frustrated when you have to change your schedule. See you tomorrow for a new rescheduled flight.
3185,negative,@SouthwestAir I just wanted Southwest to know that I don't think they're as great as I used to anymore. Nothing to look into.
2408,negative,@united any help is appreciated. That's a LOOONG wait for help on something that's not his fault
